id,Product Name,Brand,Main Category,Subcategory,Size / Unit,Price,Benchmark Price,Benchmark Source,Benchmark URL,Last Checked,Pricing Note
air-wick-freshmatic-refill-sparkling-citrus-250-ml-250ml,Air Wick Freshmatic Refill Sparkling Citrus 250 ml,Air Wick,Cleaning & Home Care,Air Freshener,250ml,3245,,,,,
air-wick-air-freshener-stick-up-multi-use-aroma-gel-assorted-30-g-30g,Air Wick Air Freshener Stick Up Multi-Use Aroma Gel Assorted 30 g,Air Wick,Cleaning & Home Care,Odor Eliminator,30g,1270,,,,,
air-wick-drummer-air-freshener-assorted-fragrances-45-g-x6-45g-x-6,Air Wick Drummer Air Freshener Assorted Fragrances 45 g x6,Air Wick,Cleaning & Home Care,Air Freshener,45g x 6,8130,,,,,
glade-automatic-spray-refill-lavender-vanilla-269-ml-269ml,Glade Automatic Spray Refill Lavender & Vanilla 269 ml,Glade,Cleaning & Home Care,Air Freshener,269ml,4905,,,,,
glade-solid-air-freshener-clean-linen-170-g-170g,Glade Solid Air Freshener Clean Linen 170 g,Glade,Cleaning & Home Care,Odor Eliminator,170g,1540,,,,,
glade-air-freshener-gel-lavender-70-g-70g,Glade Air Freshener Gel Lavender 70 g,Glade,Cleaning & Home Care,Air Freshener Gel,70g,920,,,,,
wind-air-freshener-assorted-300-ml-300ml,Wind Air Freshener Assorted 300 ml,Wind,Cleaning & Home Care,Air Freshener,300ml,2530,,,,,
wind-air-freshener-block-65-g-x6-65g-x-6,Wind Air Freshener Block 65 g x6,Wind,Cleaning & Home Care,Odor Eliminator,65g x 6,2790,,,,,
godrej-aer-power-pocket-lavender-bloom-10-g-10g,Godrej Aer Power Pocket Lavender Bloom 10 g,Godrej,Cleaning & Home Care,Odor Eliminator,10g,1195,,,,,
top-breeze-diffuser-160-ml-160ml,Top Breeze Diffuser 160 ml,Top Breeze,Cleaning & Home Care,Diffuser,160ml,4850,,,,,
sparkle-air-freshener-aqua-mist-magnolia-blossom-500-ml-500ml,Sparkle Air Freshener Aqua Mist Magnolia Blossom 500 ml,Sparkle,Cleaning & Home Care,Air Freshener,500ml,3035,,,,,
dettol-all-in-one-disinfectant-spray-assorted-400-ml-400ml,Dettol All-In-One Disinfectant Spray Assorted 400 ml,Dettol,Cleaning & Home Care,Disinfectant Spray,400ml,3350,,,,,
dettol-anti-bacterial-surface-cleanser-500-ml-500ml,Dettol Anti-Bacterial Surface Cleanser 500 ml,Dettol,Cleaning & Home Care,Surface Cleaner,500ml,3350,,,,,
dettol-multi-action-large-wipes-x36-36-wipes,Dettol Multi-Action Large Wipes x36,Dettol,Cleaning & Home Care,Disinfectant Wipes,36 wipes,775,,,,,
dettol-multi-action-citrus-zest-large-wipes-x20-20-wipes,Dettol Multi Action Citrus Zest Large Wipes x20,Dettol,Cleaning & Home Care,Disinfectant Wipes,20 wipes,1190,,,,,
lysol-disinfectant-spray-lemon-breeze-354-g-354g,Lysol Disinfectant Spray Lemon Breeze 354 g,Lysol,Cleaning & Home Care,Disinfectant Spray,354g,7855,,,,,
milton-disinfectant-spray-300-ml-300ml,Milton Disinfectant Spray 300 ml,Milton,Cleaning & Home Care,Disinfectant Spray,300ml,2715,,,,,
